Wavelength (nm),14k,11k,8k,5k,3k
275,0.482242157,0.438663229,0.404780784,0.43117521,0.302941234
276,0.481221541,0.43784656,0.403350118,0.431366235,0.303439373
277,0.480237432,0.435520538,0.401555836,0.431062988,0.302783851
278,0.477516203,0.432324856,0.398920331,0.429123587,0.301891981
279,0.47535976,0.43037488,0.397575606,0.427619752,0.301487562
280,0.475082361,0.429976474,0.397114207,0.428850048,0.301258099
281,0.47649247,0.429847934,0.397382165,0.429363433,0.303112247
282,0.477781876,0.430330115,0.397540823,0.431470247,0.303677846
283,0.478132762,0.429553477,0.398448984,0.431247988,0.304326705
284,0.478152737,0.428946431,0.398047028,0.431978333,0.304601009
285,0.47853763,0.428515741,0.397890049,0.43253119,0.305259153
286,0.478668618,0.428588629,0.397485538,0.433118214,0.306116816
287,0.478621947,0.426914913,0.396697998,0.433572349,0.306237244
288,0.477438343,0.426419216,0.396425371,0.433302509,0.306123002
289,0.476341342,0.425239047,0.395470132,0.432593305,0.306205919
290,0.475765258,0.424026721,0.395246704,0.43346032,0.307120793
291,0.475800275,0.423529922,0.39470269,0.434683078,0.30709774
292,0.476340969,0.422912506,0.394303245,0.434900596,0.307303877
293,0.476393441,0.423073016,0.394795282,0.435210743,0.307491271
294,0.477747469,0.423639777,0.394916951,0.435846461,0.307239108
295,0.479132393,0.424284236,0.395716949,0.437925941,0.309052425
296,0.479772208,0.42417234,0.396594392,0.439069714,0.310375225
297,0.480286778,0.425004393,0.397051216,0.440321003,0.311406749
298,0.48110763,0.425410243,0.396728779,0.440716197,0.312531909
299,0.482603562,0.426926287,0.398113714,0.442158104,0.313129212
300,0.484669235,0.428192709,0.399280995,0.445773926,0.313539129
301,0.485606273,0.428957007,0.400282835,0.446510772,0.315004191
302,0.486859908,0.428671635,0.401799986,0.448806662,0.315373283
303,0.486950225,0.428974823,0.403076892,0.448973558,0.316486303
304,0.487416561,0.430012736,0.402322739,0.449309041,0.317466876
305,0.488958674,0.429162043,0.404454433,0.452834608,0.318414548
306,0.489557581,0.431721228,0.404847807,0.455153563,0.320315107
307,0.491964623,0.432910321,0.406462513,0.458680487,0.32077206
308,0.494712034,0.434338161,0.408751591,0.4600871,0.322019367
309,0.493058827,0.433720809,0.407393919,0.460552085,0.321729337
310,0.491654152,0.432358716,0.407547139,0.460327395,0.322035255
311,0.491068326,0.433380446,0.406145604,0.459519594,0.321913828
312,0.490505975,0.431263608,0.406433447,0.460576236,0.322238431
313,0.491034266,0.431166888,0.406520566,0.46280697,0.322667492
314,0.489552518,0.431690517,0.408390192,0.462592349,0.323965091
315,0.490873285,0.43169998,0.407371637,0.463169853,0.323461431
316,0.491043187,0.432228467,0.408130447,0.46423102,0.325056692
317,0.490724216,0.432167266,0.408578949,0.465786821,0.325709783
318,0.491355869,0.431447134,0.4087218,0.46624676,0.325865386
319,0.491062505,0.432345962,0.408794407,0.468405723,0.3271328
320,0.490840631,0.433118261,0.40946521,0.469521396,0.327266625
321,0.491726053,0.432969665,0.410774825,0.470520628,0.328018168
322,0.492328487,0.43272602,0.409426487,0.471485299,0.328568495
323,0.492105311,0.432532187,0.40995948,0.473006172,0.329113013
324,0.491756545,0.431830108,0.41089373,0.47318156,0.32932597
325,0.491706634,0.432177211,0.409594268,0.473853674,0.329293483
326,0.490925895,0.432391035,0.410969402,0.474408981,0.3304312
327,0.490085544,0.43130992,0.409134731,0.474028052,0.33010954
328,0.489690447,0.431131856,0.409987301,0.474785342,0.330818822
329,0.488482775,0.429837999,0.408681623,0.473990904,0.329443368
330,0.487852629,0.428508945,0.40873131,0.474371511,0.32971484
331,0.488503765,0.42798039,0.408976501,0.473856929,0.329935985
332,0.487081464,0.427318184,0.406762406,0.474501864,0.330392229
333,0.484283622,0.425047387,0.406775034,0.473847077,0.329791287
334,0.4848949,0.425097041,0.406098495,0.473607548,0.330402182
335,0.482300021,0.425512596,0.404795387,0.473867905,0.329668583
336,0.481959485,0.423065333,0.404673232,0.474031967,0.330169292
337,0.480927265,0.423189358,0.404579145,0.473220956,0.329987914
338,0.479612449,0.420890492,0.404321622,0.474952881,0.329476134
339,0.479506653,0.420642361,0.403337058,0.475793734,0.329993851
340,0.479953415,0.421076467,0.403048547,0.476142301,0.330864248
341,0.478124253,0.423426651,0.402489129,0.474524332,0.331086004
342,0.477010088,0.420373759,0.403057604,0.476238161,0.332562645
343,0.478346655,0.419331592,0.403473137,0.476478729,0.330394055
344,0.478161154,0.418703952,0.403075269,0.476827533,0.332336617
345,0.477228928,0.419232867,0.402625807,0.478000545,0.33167984
346,0.479626332,0.419542032,0.403339179,0.477744414,0.33212998
