Wavelength (nm),14k,11k,8k,5k,3k
609,0.227179115,0.223173964,0.300824273,0.487911451,0.394612666
610,0.225425816,0.22163881,0.299463153,0.485762095,0.39305239
611,0.222927551,0.219438761,0.297415535,0.483320279,0.391757117
612,0.220751524,0.21761255,0.296143393,0.481065372,0.390517431
613,0.220253305,0.217164332,0.296985769,0.484819511,0.39366714
614,0.218215208,0.21599619,0.296009117,0.486442275,0.394946349
615,0.216235701,0.214210038,0.294446943,0.486556495,0.395783824
616,0.213415972,0.211778402,0.292386162,0.484120152,0.394773755
617,0.210812438,0.209592101,0.290335229,0.482653304,0.394614826
618,0.208596543,0.207561807,0.289137363,0.484244355,0.396408767
619,0.205151997,0.204454623,0.286071271,0.480125467,0.394640197
620,0.203639376,0.20324246,0.28575782,0.482807696,0.397447958
621,0.200628449,0.199868511,0.282574308,0.479734076,0.396195926
622,0.198196145,0.197794991,0.280697173,0.479698832,0.39669109
623,0.195782837,0.195743629,0.278558579,0.480055602,0.398528753
624,0.192288225,0.192579734,0.275107009,0.476425982,0.397835196
625,0.189455956,0.189877631,0.272785574,0.475060803,0.397117429
626,0.187018574,0.18745382,0.270490596,0.473111221,0.396994625
627,0.185227048,0.185580528,0.268684365,0.473495868,0.399161505
628,0.182780704,0.183561079,0.26662638,0.471665209,0.399039691
629,0.180117128,0.181258295,0.264405289,0.471298299,0.399232279
630,0.177673186,0.17906861,0.261811826,0.46967674,0.399296453
631,0.174787944,0.176325297,0.258573846,0.465794773,0.397342975
632,0.172543053,0.174369911,0.256522392,0.463528023,0.397282148
633,0.170195452,0.172045505,0.253828199,0.460741847,0.396306337
634,0.168231516,0.170111722,0.251409475,0.459275679,0.396160769
635,0.166247715,0.168115936,0.249507108,0.457254155,0.395988514
636,0.16454495,0.166480541,0.247124775,0.455816197,0.396374778
637,0.162927718,0.16487689,0.245141607,0.453363481,0.395236367
638,0.160910661,0.163486036,0.242742785,0.450083825,0.39386527
639,0.160061625,0.161884706,0.24180065,0.449081843,0.394116777
640,0.158386992,0.160148356,0.238967605,0.446333827,0.392181708
641,0.157411911,0.158814142,0.237901768,0.444195391,0.392295553
642,0.156260824,0.157934338,0.236451442,0.44296527,0.391002457
643,0.155184042,0.15710196,0.234935696,0.44094392,0.390373388
644,0.154306278,0.156532271,0.233728209,0.439336756,0.390136
645,0.154027761,0.15554889,0.232641987,0.43766354,0.389368908
646,0.153895206,0.155308221,0.231907104,0.436539992,0.388481581
647,0.153218533,0.15470307,0.231372404,0.434862068,0.3884242
648,0.153052529,0.15460757,0.230634105,0.434718898,0.388723759
649,0.152770294,0.154365744,0.229948676,0.433705793,0.38767114
650,0.153475915,0.154643287,0.229624512,0.431648614,0.386311344
651,0.153898812,0.154484371,0.229988432,0.431777569,0.38544834
652,0.15484057,0.155616981,0.231225925,0.432846617,0.385398095
653,0.155702237,0.156542809,0.232266601,0.433622209,0.385418957
654,0.156395978,0.157336808,0.233339759,0.434559015,0.385298695
655,0.157522117,0.158368261,0.234384714,0.435553274,0.38572927
656,0.158212289,0.159383489,0.235518645,0.436472296,0.38569004
657,0.159216419,0.1603183,0.236545578,0.437268393,0.385812281
658,0.159964153,0.161289505,0.237775064,0.437822211,0.385786467
659,0.161191082,0.162301295,0.238981518,0.439018101,0.385520768
660,0.161931535,0.163270406,0.240142836,0.439668118,0.385685518
661,0.1627631,0.164046206,0.241127932,0.440655978,0.385567353
662,0.163804528,0.165263952,0.242956937,0.442429155,0.385983616
663,0.163764638,0.166060618,0.244591754,0.444108751,0.386422111
664,0.162943656,0.166103848,0.245827432,0.446619649,0.387304217
665,0.162666312,0.166521921,0.247242995,0.449228627,0.388257572
666,0.161437104,0.165954927,0.24768515,0.45049748,0.388876062
667,0.159715868,0.165410055,0.248863115,0.452647994,0.389642743
668,0.157486003,0.164546341,0.249422632,0.45588775,0.391711339
669,0.154851797,0.163329192,0.249893451,0.457967862,0.393157105
670,0.15182486,0.160890336,0.249060136,0.460449508,0.394307319
671,0.148186661,0.158606134,0.248309537,0.463036604,0.396721097
672,0.144319286,0.155804618,0.247414003,0.465062608,0.399195039
673,0.139483897,0.151810305,0.24393228,0.463740024,0.398835039
674,0.134588715,0.147502513,0.241197571,0.464359061,0.400010622
675,0.129512125,0.143223394,0.23849422,0.464518398,0.402854352
676,0.124179647,0.138569357,0.234123223,0.464167791,0.403751583
677,0.118921831,0.133135436,0.228942852,0.463550343,0.405046332
678,0.113851862,0.128133248,0.223987398,0.462430627,0.406723246
679,0.108466942,0.123142211,0.218500786,0.458817157,0.407623503
680,0.10314906,0.117635599,0.212280759,0.455186272,0.407720089
681,9.83E-02,0.112443181,0.20662225,0.451749551,0.407955832
682,9.38E-02,0.107679318,0.201046294,0.448412934,0.408751152
683,8.89E-02,0.102929368,0.195089204,0.444116513,0.408683069
684,0.085116705,9.85E-02,0.18929385,0.440651508,0.409981419
685,8.13E-02,9.43E-02,0.183842064,0.436900266,0.410341992
686,7.73E-02,9.02E-02,0.178250442,0.43087669,0.408844419
687,7.37E-02,8.63E-02,0.172762522,0.425625957,0.408607413
688,7.10E-02,8.30E-02,0.168480741,0.421459567,0.408406232
689,0.068028619,7.98E-02,0.16417764,0.41696892,0.407826241
690,6.51E-02,7.69E-02,0.159560709,0.412293068,0.407932353
691,6.31E-02,7.41E-02,0.155370994,0.407712058,0.407887095
692,6.02E-02,7.16E-02,0.151659977,0.4027725,0.406610605
693,5.81E-02,6.92E-02,0.14789675,0.397517661,0.405640847
694,5.66E-02,6.73E-02,0.144750469,0.39410295,0.405627847
695,5.47E-02,6.51E-02,0.141857837,0.389411854,0.404482279
696,5.27E-02,0.063347694,0.138754674,0.385556346,0.404748375
697,5.14E-02,0.061662042,0.135709646,0.382637568,0.404963603
698,4.97E-02,6.00E-02,0.133113238,0.377684154,0.403472762
699,4.83E-02,5.84E-02,0.130788217,0.373624797,0.402570576
700,4.76E-02,5.71E-02,0.128502179,0.370363699,0.402434565
701,4.59E-02,5.53E-02,0.12644708,0.366874565,0.402063058
702,4.46E-02,0.05424803,0.124404659,0.363194594,0.40119737
703,4.39E-02,5.30E-02,0.122157787,0.35992955,0.400794728
704,4.26E-02,5.19E-02,0.120473787,0.356682687,0.399567555
705,4.20E-02,5.11E-02,0.118840778,0.353534195,0.399386047
706,4.16E-02,5.01E-02,0.116992951,0.350728199,0.399247432
707,4.04E-02,0.049101751,0.11536529,0.348786815,0.399867025
708,3.94E-02,4.84E-02,0.113378293,0.34433934,0.397805044
709,3.90E-02,4.69E-02,0.111843851,0.340862485,0.396397929
710,3.81E-02,4.65E-02,0.110866637,0.338592527,0.396656502
711,3.76E-02,4.55E-02,0.109180015,0.335616507,0.396044211
712,3.72E-02,4.49E-02,0.107728274,0.332187661,0.394512329
713,3.64E-02,4.43E-02,0.107126979,0.330683116,0.394817522
714,3.59E-02,0.043819378,0.105398042,0.328064904,0.394417802
715,3.50E-02,4.28E-02,0.103990568,0.324800191,0.393592659
716,3.46E-02,4.24E-02,0.103539528,0.322735853,0.392640375
717,3.46E-02,4.16E-02,0.101898281,0.319946055,0.392242721
718,3.38E-02,4.12E-02,0.101386958,0.31858054,0.392523832
719,3.35E-02,4.10E-02,0.100749473,0.316322785,0.392092078
720,3.32E-02,4.03E-02,9.92E-02,0.313741834,0.391518755
721,3.27E-02,3.98E-02,9.87E-02,0.31149793,0.391212255
722,3.27E-02,3.95E-02,9.76E-02,0.309629475,0.391019295
723,3.21E-02,0.038940049,9.66E-02,0.3071115,0.389941277
724,3.17E-02,3.86E-02,9.60E-02,0.305723065,0.389634596
725,3.18E-02,0.038251403,9.47E-02,0.30324979,0.389279604
726,0.030949876,3.77E-02,9.45E-02,0.30137078,0.389173928
727,3.05E-02,3.73E-02,9.31E-02,0.299040981,0.387852593
728,3.08E-02,3.71E-02,9.27E-02,0.296840099,0.387971328
729,0.030106137,0.03669248,0.092095255,0.29567303,0.387363855
730,3.00E-02,3.63E-02,9.09E-02,0.293471991,0.386623556
731,2.98E-02,3.61E-02,9.04E-02,0.291892735,0.386640412
732,2.94E-02,3.53E-02,8.96E-02,0.289673026,0.385368084
733,2.98E-02,3.56E-02,0.089154586,0.287530466,0.385731336
734,0.028951522,3.48E-02,8.86E-02,0.286349007,0.384984131
735,2.90E-02,3.45E-02,8.74E-02,0.284248403,0.384158079
736,2.85E-02,3.42E-02,8.71E-02,0.281732879,0.38382708
737,2.83E-02,3.38E-02,8.64E-02,0.28054163,0.382854587
738,2.85E-02,3.38E-02,8.60E-02,0.278354554,0.38198952
739,2.79E-02,3.36E-02,8.56E-02,0.277456468,0.382295395
740,2.83E-02,3.34E-02,8.50E-02,0.275340537,0.381835263
741,2.76E-02,3.30E-02,8.45E-02,0.273026954,0.380821665
742,2.75E-02,0.032572335,8.39E-02,0.272018079,0.3804805
743,2.77E-02,3.26E-02,8.35E-02,0.270418754,0.38024373
744,2.72E-02,0.032221839,8.32E-02,0.268705917,0.379310486
745,2.74E-02,3.21E-02,8.26E-02,0.267244506,0.37955015
746,2.68E-02,3.18E-02,8.22E-02,0.265574501,0.379056134
747,2.74E-02,3.17E-02,8.18E-02,0.264657178,0.378650928
748,0.026895278,3.17E-02,8.15E-02,0.262623259,0.378142425
749,2.66E-02,3.11E-02,8.08E-02,0.262016025,0.377340731
750,2.68E-02,3.10E-02,8.03E-02,0.260577154,0.378185386
751,2.63E-02,3.08E-02,7.98E-02,0.258800318,0.377046434
752,2.63E-02,3.05E-02,7.91E-02,0.257349165,0.376790296
753,2.57E-02,3.04E-02,7.89E-02,0.255635474,0.37589126
754,2.65E-02,3.01E-02,7.88E-02,0.254909633,0.376338974
755,2.56E-02,3.00E-02,0.077964715,0.252672118,0.375456134
756,2.58E-02,2.98E-02,7.80E-02,0.252685982,0.375796932
757,2.58E-02,2.96E-02,7.70E-02,0.251002382,0.376148989
758,2.55E-02,2.98E-02,7.68E-02,0.24996041,0.374957485
759,0.025574737,2.92E-02,0.07630552,0.247987815,0.374779886
760,0.025454634,2.93E-02,7.63E-02,0.247389718,0.374787501
761,2.54E-02,2.87E-02,7.52E-02,0.246161189,0.374112217
762,2.51E-02,2.90E-02,7.58E-02,0.244027798,0.372997709
763,2.54E-02,0.028671101,0.075411025,0.243621181,0.373316661
764,2.48E-02,0.028623541,7.49E-02,0.241845019,0.373120062
765,0.024912787,2.84E-02,0.074435717,0.241377465,0.372683985
766,2.49E-02,2.80E-02,7.39E-02,0.239065282,0.371414093
767,0.025043392,0.028178029,7.44E-02,0.238160562,0.370849678
768,2.49E-02,2.78E-02,0.073947456,0.237016898,0.371314898
769,2.49E-02,0.028150532,7.41E-02,0.236538505,0.371207146
770,2.48E-02,2.75E-02,7.30E-02,0.234525305,0.370545401
771,2.47E-02,2.78E-02,7.29E-02,0.233611562,0.370072586
772,2.44E-02,2.71E-02,7.23E-02,0.232586132,0.369942422
773,2.42E-02,2.72E-02,7.26E-02,0.230890957,0.368591376
774,2.44E-02,2.70E-02,7.22E-02,0.230320142,0.369094922
775,2.42E-02,2.71E-02,7.25E-02,0.228721332,0.368043492
776,2.44E-02,2.70E-02,0.071872951,0.228168443,0.36854097
777,2.43E-02,2.68E-02,7.18E-02,0.226188083,0.367684715
778,2.42E-02,2.68E-02,7.14E-02,0.22597395,0.368061419
779,2.41E-02,2.67E-02,7.08E-02,0.224568913,0.367985892
780,2.40E-02,2.65E-02,7.08E-02,0.223991457,0.367517194
781,2.40E-02,2.63E-02,7.06E-02,0.222816346,0.367459263
782,0.023958363,2.61E-02,7.03E-02,0.22195467,0.367579093
783,2.40E-02,2.59E-02,6.98E-02,0.220430152,0.365984351
784,2.36E-02,2.61E-02,7.00E-02,0.219835171,0.3663706
785,2.37E-02,2.58E-02,6.95E-02,0.218510039,0.365406967
786,2.36E-02,2.58E-02,6.98E-02,0.217710107,0.365604151
787,0.023504816,2.57E-02,0.069070796,0.216929456,0.365258082
788,0.023602968,0.025760111,6.89E-02,0.215928423,0.364981221
789,2.33E-02,2.52E-02,6.82E-02,0.214557734,0.364176681
790,2.31E-02,2.55E-02,6.87E-02,0.213284441,0.364092163
791,2.32E-02,0.025115087,6.81E-02,0.212436451,0.363320408
792,2.31E-02,2.52E-02,6.85E-02,0.211569509,0.363183319
793,2.33E-02,2.51E-02,6.81E-02,0.210886798,0.363056134
794,2.32E-02,2.48E-02,6.77E-02,0.209987899,0.362835488
795,2.30E-02,2.48E-02,6.69E-02,0.209081095,0.362174155
796,2.32E-02,0.024898738,6.75E-02,0.207855233,0.36232982
797,2.30E-02,2.45E-02,6.72E-02,0.2067223,0.361165229
798,2.27E-02,0.024497096,6.70E-02,0.205910966,0.361488876
799,2.29E-02,2.44E-02,6.64E-02,0.205123438,0.360280053
800,2.29E-02,2.45E-02,6.68E-02,0.203861148,0.360728426
801,2.28E-02,2.45E-02,6.65E-02,0.203336313,0.360698932
802,2.28E-02,2.44E-02,6.68E-02,0.20261358,0.360090561
803,2.25E-02,2.40E-02,6.58E-02,0.201116404,0.358785925
804,2.28E-02,2.44E-02,6.66E-02,0.200838,0.360207756
805,2.24E-02,2.37E-02,6.53E-02,0.199275026,0.35890604
806,2.28E-02,2.42E-02,6.60E-02,0.199594733,0.359547676
807,2.24E-02,0.023615795,6.48E-02,0.198262774,0.358565303
808,2.27E-02,2.39E-02,6.52E-02,0.197859141,0.358227682
809,2.23E-02,2.36E-02,6.47E-02,0.196817555,0.358214346
810,2.23E-02,2.37E-02,6.51E-02,0.195818455,0.358055204
811,2.22E-02,2.29E-02,6.44E-02,0.194288174,0.356711454
812,2.22E-02,2.39E-02,6.52E-02,0.193971488,0.357106797
813,2.22E-02,2.29E-02,6.40E-02,0.192896512,0.356803762
814,2.21E-02,0.023459708,6.40E-02,0.192761596,0.356508513
815,2.20E-02,0.023193777,6.39E-02,0.191607709,0.35636162
816,2.17E-02,2.31E-02,6.39E-02,0.190310058,0.355742965
817,2.23E-02,2.32E-02,6.41E-02,0.189762869,0.356071479
818,2.15E-02,2.29E-02,6.31E-02,0.188546663,0.354830531
819,0.022303034,2.27E-02,6.39E-02,0.188493162,0.355519364
820,2.18E-02,2.31E-02,6.32E-02,0.187484617,0.354278299
821,2.17E-02,2.27E-02,6.32E-02,0.187249708,0.355126957
822,2.13E-02,2.23E-02,6.27E-02,0.18577622,0.354526929
823,2.19E-02,2.29E-02,6.32E-02,0.185404904,0.35364817
824,2.16E-02,0.022273366,6.27E-02,0.183889054,0.353583456
825,2.19E-02,2.31E-02,6.31E-02,0.183912797,0.353264294
826,2.16E-02,2.21E-02,6.19E-02,0.182648447,0.35332394
827,2.13E-02,2.23E-02,6.27E-02,0.181959696,0.352772006
828,2.11E-02,2.21E-02,6.23E-02,0.181373018,0.352877449
829,2.12E-02,2.23E-02,6.14E-02,0.180519509,0.351855014
830,2.15E-02,2.23E-02,6.22E-02,0.180007835,0.352045263
831,2.11E-02,2.24E-02,6.15E-02,0.178731336,0.351252983
832,2.12E-02,0.022195396,6.23E-02,0.178674367,0.351389828
833,2.10E-02,2.18E-02,6.08E-02,0.176952659,0.350558851
834,2.12E-02,2.20E-02,6.13E-02,0.177007324,0.350894967
835,2.11E-02,2.19E-02,6.12E-02,0.176155797,0.350763885
836,0.020646518,2.20E-02,6.08E-02,0.17552158,0.349338564
837,2.14E-02,2.14E-02,6.14E-02,0.174882819,0.349891822
838,2.01E-02,2.15E-02,6.03E-02,0.173638749,0.348279177
839,2.12E-02,2.12E-02,6.09E-02,0.173114065,0.349433871
840,2.05E-02,2.13E-02,6.02E-02,0.172084363,0.34776169
841,2.08E-02,2.14E-02,6.04E-02,0.17172083,0.348516967
842,2.07E-02,2.09E-02,5.99E-02,0.170820252,0.348151895
843,1.99E-02,2.12E-02,0.060053329,0.169604891,0.347052934
844,2.10E-02,2.10E-02,6.01E-02,0.170318227,0.348161339
845,2.03E-02,2.16E-02,6.01E-02,0.168618532,0.347394252
846,2.07E-02,0.021263088,5.98E-02,0.168477874,0.346654608
847,1.98E-02,2.11E-02,5.94E-02,0.167509385,0.346476272
848,1.98E-02,2.11E-02,5.93E-02,0.167019383,0.346495343
849,2.06E-02,2.06E-02,5.94E-02,0.166616131,0.346083312
850,2.00E-02,2.14E-02,5.90E-02,0.165067656,0.345949173
851,2.04E-02,2.05E-02,5.90E-02,0.164960078,0.345062738
852,0.019406487,2.08E-02,5.90E-02,0.163723383,0.345021321
853,1.99E-02,2.06E-02,5.87E-02,0.16393096,0.344992716
854,2.00E-02,2.05E-02,0.058154009,0.163367875,0.345557542
855,1.92E-02,2.05E-02,0.057743872,0.162325572,0.344725547
856,1.97E-02,0.019871071,5.81E-02,0.161949194,0.343805809
857,1.96E-02,2.10E-02,5.83E-02,0.161044034,0.343908376
858,1.98E-02,0.020058274,5.75E-02,0.160241885,0.343493251
859,1.99E-02,0.020544417,5.81E-02,0.159797887,0.343831138
860,1.96E-02,2.03E-02,5.79E-02,0.159082112,0.342775635
861,1.94E-02,0.019955385,5.74E-02,0.158763626,0.343073762
862,1.88E-02,2.06E-02,5.76E-02,0.157441228,0.342603337
863,0.019098215,0.01940118,5.70E-02,0.157071402,0.341325353
864,1.96E-02,2.08E-02,5.78E-02,0.156807695,0.343045312
865,1.87E-02,1.97E-02,5.71E-02,0.155627234,0.341497191
866,1.92E-02,2.03E-02,5.75E-02,0.15573906,0.341022203
867,1.91E-02,0.01989518,0.056424569,0.155359375,0.341014794
868,1.91E-02,2.00E-02,5.75E-02,0.153786039,0.340580308
869,1.87E-02,1.98E-02,5.58E-02,0.153883189,0.34001877
870,1.88E-02,2.01E-02,5.69E-02,0.152601363,0.33954983
871,1.88E-02,1.99E-02,5.60E-02,0.15214529,0.340051726
872,1.87E-02,0.019499892,5.61E-02,0.1517826,0.339889887
873,1.86E-02,1.99E-02,5.64E-02,0.150075193,0.338514793
874,1.88E-02,1.86E-02,5.54E-02,0.150203463,0.338502756
875,1.84E-02,2.03E-02,5.69E-02,0.149765198,0.338636101
876,1.84E-02,1.92E-02,5.54E-02,0.149339696,0.337721019
877,1.84E-02,1.93E-02,5.52E-02,0.148425878,0.338319072
878,1.80E-02,1.92E-02,5.51E-02,0.147732473,0.336869285
879,1.83E-02,1.93E-02,5.52E-02,0.147522254,0.337712141
880,1.77E-02,1.92E-02,5.46E-02,0.146141626,0.335419374
881,0.018051593,1.92E-02,5.52E-02,0.146925914,0.336297736
882,1.81E-02,1.91E-02,5.44E-02,0.145214891,0.336626611
883,1.80E-02,1.90E-02,5.42E-02,0.144457184,0.333856796
884,1.77E-02,0.019660143,5.52E-02,0.144230405,0.334332507
885,0.01774886,1.85E-02,5.43E-02,0.143192371,0.332612071
886,0.017469743,1.94E-02,5.54E-02,0.142685413,0.333563417
887,1.77E-02,1.88E-02,0.054221003,0.143079165,0.334120961
888,1.76E-02,1.89E-02,0.054849803,0.141543219,0.332259986
889,1.74E-02,1.85E-02,5.35E-02,0.141234896,0.330664179
890,0.017292508,1.87E-02,5.34E-02,0.140001599,0.330726431
891,1.66E-02,1.88E-02,0.05321591,0.139025636,0.330506686
892,1.81E-02,1.96E-02,5.48E-02,0.140085524,0.331917667
893,1.72E-02,1.80E-02,5.32E-02,0.138237274,0.329569083
894,1.70E-02,0.018422378,0.052958637,0.138431629,0.331062046
895,1.64E-02,1.84E-02,5.25E-02,0.136633477,0.328563583
896,1.77E-02,1.90E-02,5.34E-02,0.137340726,0.330219174
897,1.61E-02,1.84E-02,5.33E-02,0.135188189,0.328166826
898,1.78E-02,1.88E-02,5.31E-02,0.137354638,0.329561569
899,1.61E-02,1.75E-02,5.27E-02,0.134005732,0.327779618
900,1.70E-02,1.90E-02,0.052634397,0.135868351,0.328635485
901,1.65E-02,1.82E-02,5.21E-02,0.134381104,0.328275913
902,1.74E-02,1.88E-02,5.22E-02,0.135332262,0.328165112
903,0.016119226,1.83E-02,5.32E-02,0.132804414,0.326539583
904,1.76E-02,1.87E-02,5.23E-02,0.133473319,0.324834159
905,1.61E-02,1.82E-02,0.05208324,0.13187935,0.32687294
906,1.73E-02,1.87E-02,5.18E-02,0.132745881,0.325770705
907,1.60E-02,1.75E-02,5.14E-02,0.130752917,0.325129166
908,1.68E-02,1.86E-02,5.19E-02,0.130452543,0.325521928
909,0.014856377,1.76E-02,5.10E-02,0.129327243,0.32320315
910,1.66E-02,1.80E-02,5.08E-02,0.129700759,0.324168998
911,1.51E-02,0.017389841,5.13E-02,0.128516883,0.323325017
912,1.55E-02,1.74E-02,5.14E-02,0.128838388,0.324042752
913,1.61E-02,0.019007545,5.18E-02,0.129079537,0.324645544
914,1.63E-02,1.82E-02,5.13E-02,0.128292011,0.323790123
915,1.48E-02,1.79E-02,5.14E-02,0.12719745,0.323306422
916,1.69E-02,1.81E-02,5.18E-02,0.127227048,0.324011368
917,1.54E-02,1.80E-02,5.11E-02,0.126131995,0.321641333
918,1.66E-02,1.86E-02,5.15E-02,0.127047705,0.324337942
919,1.41E-02,1.73E-02,4.95E-02,0.125760788,0.323057587
920,1.73E-02,1.83E-02,5.16E-02,0.126202327,0.323579327
921,1.50E-02,1.77E-02,0.050489742,0.12472237,0.322597301
922,1.65E-02,1.87E-02,5.10E-02,0.125036665,0.322941394
923,1.53E-02,1.76E-02,4.95E-02,0.12437379,0.321161321
924,1.59E-02,1.80E-02,5.13E-02,0.123936124,0.323432393
925,1.42E-02,1.73E-02,4.90E-02,0.123108974,0.321416032
926,1.62E-02,1.84E-02,5.04E-02,0.123291771,0.322789217
927,1.47E-02,0.017338131,4.89E-02,0.121659985,0.321004987
928,1.63E-02,1.88E-02,5.02E-02,0.121671728,0.321300257
929,1.49E-02,1.79E-02,5.00E-02,0.123045407,0.321855946
930,1.68E-02,1.81E-02,5.21E-02,0.122732244,0.321250288
931,1.45E-02,1.76E-02,4.93E-02,0.121449085,0.319673252
932,1.66E-02,1.71E-02,0.0515641,0.120996809,0.320675828
933,1.46E-02,1.78E-02,4.91E-02,0.120025406,0.319604809
934,1.73E-02,1.88E-02,5.16E-02,0.120733362,0.320646357
935,1.41E-02,1.70E-02,4.80E-02,0.119896271,0.318682778
936,0.01666782,1.90E-02,5.17E-02,0.119509091,0.320450334
937,1.31E-02,1.62E-02,4.80E-02,0.117327296,0.316939335
938,1.70E-02,1.92E-02,5.03E-02,0.118776447,0.320098725
939,1.55E-02,1.82E-02,4.88E-02,0.118328329,0.31740483
940,0.016650972,1.77E-02,5.06E-02,0.118213291,0.318952472
941,0.013727916,1.83E-02,4.92E-02,0.117404936,0.315616682
942,0.015826005,0.018132737,4.86E-02,0.11595064,0.316677644
943,1.50E-02,1.86E-02,4.98E-02,0.117013406,0.316211487
944,1.56E-02,1.78E-02,4.94E-02,0.115837978,0.314812634
945,1.40E-02,1.76E-02,4.92E-02,0.114758627,0.318515074
946,1.58E-02,1.76E-02,4.94E-02,0.114959345,0.315399212
947,1.49E-02,0.018286611,4.93E-02,0.115196066,0.317644616
948,1.54E-02,1.83E-02,4.98E-02,0.115000811,0.314115693
949,1.52E-02,1.87E-02,4.93E-02,0.115187665,0.316383973
950,1.61E-02,1.77E-02,4.75E-02,0.115045439,0.31459039
951,1.50E-02,0.017712129,5.03E-02,0.112949703,0.315121071
952,1.51E-02,1.80E-02,4.80E-02,0.112945444,0.310455905
953,1.56E-02,1.91E-02,5.09E-02,0.112901626,0.314342896
954,1.36E-02,1.83E-02,4.82E-02,0.111582594,0.31296323
955,1.59E-02,1.88E-02,4.91E-02,0.112341494,0.312256587
956,1.37E-02,1.73E-02,0.048453606,0.112098372,0.312263525
957,1.68E-02,1.76E-02,4.92E-02,0.111253554,0.313686654
958,1.39E-02,1.80E-02,4.76E-02,0.109697035,0.310240855
959,1.52E-02,1.76E-02,4.93E-02,0.109122578,0.310455388
960,1.50E-02,1.98E-02,4.91E-02,0.10984864,0.309723687
961,1.46E-02,1.72E-02,4.80E-02,0.109146228,0.309711394
962,1.48E-02,1.96E-02,4.95E-02,0.109205466,0.310513802
963,1.45E-02,1.84E-02,4.77E-02,0.108227273,0.306839209
964,1.54E-02,1.74E-02,4.80E-02,0.107652233,0.306792768
965,1.48E-02,1.74E-02,4.77E-02,0.106868455,0.308316545
966,1.48E-02,1.89E-02,4.86E-02,0.107240431,0.306150688
967,1.47E-02,1.72E-02,4.77E-02,0.106166935,0.305237402
968,1.39E-02,1.71E-02,4.69E-02,0.104387987,0.304965591
969,1.46E-02,1.82E-02,4.66E-02,0.107415095,0.307042988
970,1.49E-02,1.54E-02,4.56E-02,0.103447673,0.303905191
971,0.014673099,1.87E-02,4.60E-02,0.105391292,0.301597863
972,1.26E-02,1.54E-02,4.71E-02,0.101911793,0.301403396
973,1.40E-02,0.020331041,4.81E-02,0.104527766,0.306853661
974,0.014659397,1.72E-02,4.63E-02,0.105114488,0.302869817
975,1.48E-02,1.86E-02,4.84E-02,0.104981384,0.304838989
976,1.65E-02,1.84E-02,4.69E-02,0.103449327,0.300460229
977,1.25E-02,1.68E-02,4.80E-02,0.101675332,0.304554381
978,1.36E-02,1.69E-02,4.58E-02,0.101612599,0.29886602
979,1.42E-02,1.72E-02,4.70E-02,0.102221794,0.30144131
980,1.43E-02,1.92E-02,4.71E-02,0.103203871,0.298041201
981,1.31E-02,1.53E-02,4.42E-02,0.100888795,0.298369247
982,1.42E-02,1.94E-02,0.047144124,9.86E-02,0.299284741
983,1.33E-02,1.60E-02,4.43E-02,9.84E-02,0.297156956
984,1.46E-02,1.98E-02,4.59E-02,0.102184497,0.299677295
985,1.46E-02,1.91E-02,4.69E-02,0.103524683,0.299156286
986,1.34E-02,1.78E-02,4.62E-02,9.90E-02,0.298282552
987,1.65E-02,0.017622934,4.64E-02,0.100313105,0.298563551
988,1.34E-02,1.61E-02,0.044214841,0.096167186,0.295352575
989,1.66E-02,1.92E-02,4.74E-02,0.103267433,0.297965569
990,1.32E-02,1.50E-02,4.47E-02,9.58E-02,0.298097912
991,1.39E-02,2.10E-02,4.78E-02,0.100401676,0.297279715
992,0.014822271,1.80E-02,4.52E-02,9.58E-02,0.293116729
993,1.46E-02,1.76E-02,4.57E-02,9.54E-02,0.293929423
994,1.38E-02,0.015830142,4.68E-02,9.65E-02,0.290971333
995,0.012811037,0.015288941,4.10E-02,9.63E-02,0.293238193
996,1.32E-02,1.67E-02,4.76E-02,9.79E-02,0.298557929
997,1.19E-02,1.61E-02,4.43E-02,0.094246654,0.293499693
998,1.60E-02,1.81E-02,4.56E-02,9.67E-02,0.293599042
999,1.09E-02,1.53E-02,4.24E-02,9.42E-02,0.291830295
1000,1.14E-02,1.99E-02,4.35E-02,9.63E-02,0.290787241
1001,0.013466631,1.56E-02,4.66E-02,9.40E-02,0.295995458
1002,1.38E-02,2.00E-02,4.43E-02,9.46E-02,0.294135527
1003,1.58E-02,1.94E-02,4.73E-02,9.65E-02,0.296880625
1004,1.02E-02,1.45E-02,4.26E-02,9.45E-02,0.292446124
1005,1.53E-02,2.08E-02,4.57E-02,9.50E-02,0.292452734
1006,9.03E-03,1.49E-02,4.05E-02,9.26E-02,0.292844924
1007,1.26E-02,1.48E-02,4.26E-02,9.21E-02,0.292503287
1008,1.30E-02,1.71E-02,4.32E-02,9.31E-02,0.295023462
1009,1.37E-02,1.42E-02,4.16E-02,0.090884244,0.293507255
1010,1.33E-02,1.78E-02,4.57E-02,9.12E-02,0.291129922
1011,1.24E-02,1.67E-02,0.041984439,9.17E-02,0.292423024
1012,1.42E-02,1.97E-02,4.58E-02,9.31E-02,0.296907149
1013,1.10E-02,1.68E-02,4.39E-02,9.27E-02,0.301695094
1014,1.29E-02,1.85E-02,4.45E-02,9.45E-02,0.293563615
1015,1.55E-02,1.80E-02,4.74E-02,9.53E-02,0.293880755
1016,1.26E-02,1.63E-02,3.98E-02,9.13E-02,0.285283105
