Wavelength,Intensity
N/A,1276
N/A,1299
N/A,1311
N/A,1313
N/A,1318
N/A,1333
N/A,1336
N/A,1337
N/A,1333
N/A,1289
N/A,1338
N/A,1329
N/A,1285
N/A,1334
N/A,1319
N/A,1313
N/A,1356
N/A,1348
N/A,1333
N/A,1324
N/A,1350
N/A,1363
N/A,1363
N/A,1330
N/A,1366
N/A,1404
N/A,1375
N/A,1363
N/A,1399
N/A,1422
N/A,1399
N/A,1362
N/A,1398
N/A,1365
N/A,1385
N/A,1435
N/A,1431
N/A,1384
N/A,1402
N/A,1396
N/A,1398
N/A,1411
N/A,1403
N/A,1402
N/A,1440
N/A,1386
N/A,1437
N/A,1421
N/A,1428
N/A,1407
N/A,1435
N/A,1441
N/A,1434
N/A,1412
N/A,1409
N/A,1434
N/A,1450
N/A,1418
N/A,1442
N/A,1387
N/A,1398
N/A,1416
N/A,1448
N/A,1404
N/A,1435
N/A,1385
N/A,1424
N/A,1454
N/A,1423
N/A,1435
N/A,1423
N/A,1445
N/A,1429
N/A,1431
N/A,1444
N/A,1466
N/A,1441
N/A,1486
N/A,1456
N/A,1412
N/A,1397
N/A,1437
N/A,1492
N/A,1429
N/A,1408
N/A,1420
N/A,1458
N/A,1439
N/A,1453
N/A,1449
N/A,1415
N/A,1414
N/A,1458
N/A,1397
N/A,1458
N/A,1479
N/A,1455
N/A,1418
N/A,1424
N/A,1468
N/A,1458
N/A,1503
N/A,1465
N/A,1451
N/A,1473
N/A,1404
N/A,1491
N/A,1489
N/A,1474
N/A,1474
N/A,1469
N/A,1460
N/A,1474
N/A,1476
N/A,1505
N/A,1504
N/A,1492
N/A,1494
N/A,1536
N/A,1482
N/A,1501
N/A,1518
N/A,1519
N/A,1524
N/A,1586
N/A,1513
N/A,1479
N/A,1527
N/A,1474
N/A,1499
N/A,1550
N/A,1562
N/A,1520
N/A,1527
N/A,1494
N/A,1563
N/A,1572
N/A,1529
N/A,1565
N/A,1543
N/A,1542
N/A,1572
N/A,1570
N/A,1597
N/A,1581
N/A,1537
N/A,1560
N/A,1529
N/A,1548
N/A,1607
